School Name,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location Address 2 [Public School] 2014-15,Location Address 3 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location ZIP4 [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15
CALDWELL EARLY COLLEGE,North Carolina,True,2859 HICKORY BLVD SW,†,†,HUDSON,28638,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,35.853817,-81.483806,9th Grade,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,385,325
CANE RIVER MIDDLE,North Carolina,True,1128 CANE RIVER SCHOOL ROAD,†,†,BURNSVILLE,28714,9803,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.912177,-82.377678,6th Grade,8th Grade,2-No,2-No,2-No,2-No,250,†
CATAWBA ELEMENTARY SCHOOL,North Carolina,True,5415 HUDSON CHAPEL ROAD,†,†,CATAWBA,28609,"=""0448""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.696420,-81.072851,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,460,†
CATAWBA ROSENWALD EDUCATION CENTER,North Carolina,True,403 6TH AVE SW,†,†,CATAWBA,28609,†,2-Special education school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.701856,-81.075616,Kindergarten,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,44,27
CENTRAL WILKES MIDDLE,North Carolina,True,3541 SOUTH NC HWY 16,†,†,MORAVIAN FALLS,28654,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.094079,-81.177470,6th Grade,8th Grade,2-No,2-No,2-No,2-No,759,†
CHALLENGER EARLY COLLEGE HIGH,North Carolina,True,2550 HWY 70 SE,†,†,HICKORY,28602,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.699458,-81.288100,9th Grade,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,368,365
CHARLES H TUTTLE ELEMENTARY,North Carolina,True,2872 WATER PLANT ROAD,†,†,MAIDEN,28650,9705,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.587920,-81.156470,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,518,†
CHESTERFIELD ELEMENTARY,North Carolina,True,2142 PAX HILL ROAD,†,†,MORGANTON,28655,9399,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.810832,-81.664314,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,187,†
CLAREMONT ELEMENTARY,North Carolina,True,3384 E MAIN STREET,†,†,CLAREMONT,28610,"=""0219""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.715920,-81.143380,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,404,†
CLEARMONT ELEMENTARY,North Carolina,True,1175 CLEARMONT SCHOOL ROAD,†,†,BURNSVILLE,28714,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.976375,-82.297449,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,126,†
CLYDE CAMPBELL ELEMENTARY,North Carolina,True,2121 35TH AVENUE DRIVE NE,†,†,HICKORY,28601,9806,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.777662,-81.286593,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,539,†
COLLETTSVILLE SCHOOL,North Carolina,True,4690 COLLETTSVILLE SCHOOL RD,†,†,COLLETTSVILLE,28611,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.927023,-81.672763,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,344,†
CONOVER SPECIAL EDUCATION,North Carolina,True,108 7TH STREET PLACE SW,†,†,CONOVER,28613,2700,2-Special education school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.701460,-81.220660,Prekindergarten,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,125,54
COVE CREEK ELEMENTARY,North Carolina,True,930 VANDERPOOL RD,†,†,VILAS,28692,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.259471,-81.748746,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,287,†
CRANBERRY MIDDLE,North Carolina,True,6230 NORTH HIGHWAY 19E,†,†,ELK PARK,28622,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.147292,-81.964130,6th Grade,8th Grade,2-No,2-No,2-No,2-No,216,†
CROSSNORE ACADEMY,North Carolina,True,129 ALLEN CIRCLE,†,†,CROSSNORE,28616,†,1-Regular school,2-No,1-Yes,1-Yes,5-Eligible for Title I SWP provides SWP program,36.021600,-81.929700,Kindergarten,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,104,43
CROSSNORE ELEMENTARY,North Carolina,True,1000 WALT CLARK ROAD,†,†,CROSSNORE,28616,"=""0056""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.025777,-81.925880,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,211,†
DAVENPORT A+ SCHOOL,North Carolina,True,901 COLLEGE AVENUE SW,†,†,LENOIR,28645,5427,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.911770,-81.539697,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,488,†
DEYTON ELEMENTARY,North Carolina,True,308 HARRIS STREET,†,†,SPRUCE PINE,28777,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.909760,-82.088212,3rd Grade,5th Grade,2-No,2-No,2-No,2-No,252,†
DISCOVERY HIGH SCHOOL,North Carolina,True,301 WEST 18TH ST,†,†,NEWTON,28658,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.679590,-81.222361,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,224,176
DREXEL ELEMENTARY,North Carolina,True,100 ALTA VISTA STREET,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.757700,-81.604400,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,500,†
DUDLEY SHOALS ELEMENTARY,North Carolina,True,1500 DUDLEY SHOALS ROAD,†,†,GRANITE FALLS,28630,8424,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.855910,-81.392111,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,488,†
EAST ALEXANDER MIDDLE,North Carolina,True,1285 WHITE PLAINS ROAD,†,†,HIDDENITE,28636,9802,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.929689,-81.122768,6th Grade,8th Grade,2-No,2-No,2-No,2-No,671,†
EAST BURKE HIGH,North Carolina,True,3695 EAST BURKE BOULEVARD,†,†,CONNELLY SPRINGS,28612,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.721566,-81.482113,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,991,991
EAST BURKE MIDDLE,North Carolina,True,3519 MILLER BRIDGE ROAD,†,†,CONNELLY SPRINGS,28612,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.721816,-81.481817,6th Grade,8th Grade,2-No,2-No,2-No,2-No,728,†
EAST MCDOWELL JUNIOR HIGH,North Carolina,True,676 STATE STREET,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.687220,-81.995697,6th Grade,8th Grade,2-No,2-No,2-No,2-No,718,†
EAST WILKES HIGH,North Carolina,True,13315 ELKIN HWY 268,†,†,RONDA,28670,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,36.226446,-80.927589,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,548,548
EAST WILKES MIDDLE,North Carolina,True,2202 MACEDONIA CHURCH ROAD,†,†,RONDA,28670,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.245547,-80.929385,6th Grade,8th Grade,2-No,2-No,2-No,2-No,423,†
EAST YANCEY MIDDLE,North Carolina,True,285 GEORGES FORK ROAD,†,†,BURNSVILLE,28714,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.911351,-82.257994,6th Grade,8th Grade,2-No,2-No,2-No,2-No,296,†
EASTFIELD GLOBAL MAGNET SCHOOL,North Carolina,True,170 EASTFIELD SCHOOL ROAD,†,†,MARION,28752,†,1-Regular school,1-Yes,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.686240,-81.986337,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,331,†
ELLENDALE ELEMENTARY,North Carolina,True,175 ELLENDALE PARK LANE,†,†,TAYLORSVILLE,28681,9570,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.928460,-81.278841,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,323,†
FOREST HILL ELEMENTARY,North Carolina,True,304 ANN STREET,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.731740,-81.700930,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,476,†
FRED T FOARD HIGH,North Carolina,True,3407 PLATEAU ROAD,†,†,NEWTON,28658,9776,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.617507,-81.371066,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1025,1025
FREEDOM HIGH,North Carolina,True,511 INDEPENDENCE BOULEVARD,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.745194,-81.720672,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1178,1178
FREEDOM TRAIL ELEMENTARY,North Carolina,True,6110 NORTH US HWY 19E,†,†,ELK PARK,28622,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.148116,-81.963877,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,228,†
GAMEWELL ELEMENTARY,North Carolina,True,2904 MORGANTON BOULEVARD,†,†,LENOIR,28645,8184,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.868718,-81.597311,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,549,†
GAMEWELL MIDDLE,North Carolina,True,3210 GAMEWELL SCHOOL ROAD,†,†,LENOIR,28645,9639,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.871572,-81.598390,6th Grade,8th Grade,2-No,2-No,2-No,2-No,606,†
GEORGE HILDEBRAND ELEMENTARY,North Carolina,True,8078 G HILDEBRAND SCH ROAD,†,†,CONNELLY SPRINGS,28612,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.637179,-81.513452,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,380,†
GLADE CREEK ELEMENTARY,North Carolina,True,32 GLADE CREEK SCH ROAD,†,†,ENNICE,28623,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.500905,-80.979315,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,259,†
GLEN ALPINE ELEMENTARY,North Carolina,True,302 LONDON STREET,†,†,MORGANTON,28655,7211,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.724606,-81.779279,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,432,†
GLENWOOD ELEMENTARY,North Carolina,True,2 PRESTWICK RD,†,†,CHAPEL HILL,27517,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.906305,-79.026560,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,475,†
GLENWOOD ELEMENTARY,North Carolina,True,1545 OLD HWY 221 SOUTH,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.620393,-81.983808,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,374,†
GOUGE ELEMENTARY,North Carolina,True,134 LAUREL STREET,†,†,BAKERSVILLE,28705,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.013198,-82.154564,Kindergarten,4th Grade,2-No,2-No,2-No,2-No,278,†
GRANDFATHER ACADEMY,North Carolina,True,158 GRANDFATHER HOME DRIVE,†,†,BANNER ELK,28604,†,1-Regular school,2-No,1-Yes,1-Yes,5-Eligible for Title I SWP provides SWP program,36.134500,-81.815046,1st Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,23,20
GRANDVIEW MIDDLE,North Carolina,True,451 CATAWBA VALLEY BOULEVARD,†,†,HICKORY,28602,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.703801,-81.330210,6th Grade,8th Grade,2-No,2-No,2-No,2-No,436,†
GRANITE FALLS ELEMENTARY,North Carolina,True,60 N HIGHLAND AVENUE,†,†,GRANITE FALLS,28630,1299,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.807253,-81.434775,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,625,†
GRANITE FALLS MIDDLE,North Carolina,True,90 N MAIN STREET,†,†,GRANITE FALLS,28630,1419,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.799768,-81.437291,6th Grade,8th Grade,2-No,2-No,2-No,2-No,620,†
GREEN VALLEY ELEMENTARY,North Carolina,True,189 BIG HILL ROAD,†,†,BOONE,28607,9630,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.276190,-81.637750,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,397,†
GREENLEE PRIMARY,North Carolina,True,2206 CARTERS RIDGE ROAD,†,†,SPRUCE PINE,28777,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.882920,-82.055730,Kindergarten,2nd Grade,2-No,2-No,2-No,2-No,272,†
HALLYBURTON ACADEMY,North Carolina,True,205 SOUTH MAIN STREET,†,†,DREXEL,28619,3238,4-Alternative/other school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.756000,-81.604311,6th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,131,114
HAPPY VALLEY ELEMENTARY,North Carolina,True,1350 YADKIN RIVER ROAD,†,†,LENOIR,28645,"=""0130""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.999100,-81.564100,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,272,†
HARDIN PARK ELEMENTARY,North Carolina,True,361 JEFFERSON ROAD,†,†,BOONE,28607,9320,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.222622,-81.661949,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,805,†
HARRIS MIDDLE,North Carolina,True,121 HARRIS STREET,†,†,SPRUCE PINE,28777,3119,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.909977,-82.084985,6th Grade,9th Grade,2-No,2-No,2-No,1-Yes,259,"=""0"""
HARRY M ARNDT MIDDLE,North Carolina,True,3350 34TH STREET DRIVE NE,†,†,HICKORY,28601,9802,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.775243,-81.267150,7th Grade,8th Grade,2-No,2-No,2-No,2-No,663,†
HERITAGE MIDDLE,North Carolina,True,3400 ROGERS ROAD,†,†,WAKE FOREST,27587,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,35.949250,-78.510915,6th Grade,8th Grade,2-No,2-No,2-No,2-No,1287,†
HERITAGE MIDDLE,North Carolina,True,1951 ENON ROAD,†,†,VALDESE,28690,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.759163,-81.580396,6th Grade,8th Grade,2-No,2-No,2-No,2-No,540,†
HIBRITEN HIGH,North Carolina,True,1350 PANTHER TRAIL SE,†,†,LENOIR,28645,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.925510,-81.493751,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,824,823
