,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location ZIP4 [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
35,North Carolina,Bunker Hill High,4675 OXFORD SCHOOL ROAD,CLAREMONT,28610,9468,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.742030,-81.111320,9th Grade,12th Grade,1,1,1,1,936,936,51.0,48.1,51.0
36,North Carolina,Bunn High,29 BUNN ELEM SCHOOL ROAD,BUNN,27508,"=""0146""",1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.954127,-78.249753,9th Grade,12th Grade,1,1,1,1,861,861,51.8,66.1,51.3
37,North Carolina,Burns High,307 E STAGECOACH TRAIL,LAWNDALE,28090,9535,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.420092,-81.532265,9th Grade,12th Grade,1,1,1,1,1084,1084,43.9,56.5,45.5
38,North Carolina,Butler High,1810 MATTHEWS-MINT HILL RD,MATTHEWS,28105,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.120282,-80.691593,9th Grade,12th Grade,1,1,1,1,2081,2081,67.8,68.7,70.0
39,North Carolina,C E Jordan High,6806 GARRETT ROAD,DURHAM,27707,5699,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.922669,-78.962157,9th Grade,12th Grade,1,1,1,1,1848,1848,55.8,54.4,37.4
40,North Carolina,Cabarrus-Kannapolis Early Coll,1531 TRINITY CHURCH RD,CONCORD,28027,7601,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.436630,-80.659001,9th Grade,13th Grade,1,1,1,1,232,227,82.3,88.7,85.9
41,North Carolina,Caldwell Career Cen Mid. Coll.,2857 HICKORY BOULEVARD,HUDSON,28638,999999,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.855556,-81.485220,9th Grade,12th Grade,1,1,1,1,240,240,79.0,93.7,88.3
42,North Carolina,Caldwell Early College,2859 HICKORY BLVD SW,HUDSON,28638,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.853817,-81.483806,9th Grade,13th Grade,1,1,1,1,385,325,93.7,90.9,91.9
43,North Carolina,Camden County High,103 US 158 W,CAMDEN,27921,9009,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.326910,-76.171991,9th Grade,12th Grade,1,1,1,1,460,460,61.4,72.1,44.7
44,North Carolina,Cape Fear High,4762 CLINTON ROAD,FAYETTEVILLE,28301,8976,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.034044,-78.762384,9th Grade,12th Grade,1,1,1,1,1535,1535,59.1,58.2,76.0
45,North Carolina,Cape Hatteras Secondary School,48576  HIGHWAY 12,BUXTON,27920,"=""0948""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.269310,-75.534300,6th Grade,12th Grade,1,1,1,1,303,167,58.1,66.7,60.0
46,North Carolina,Carolina International School,9545 POPLAR TENT ROAD,CONCORD,28027,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.411570,-80.737721,Kindergarten,11th Grade,0,1,1,1,700,69,65.1,61.4,62.3
47,North Carolina,Carrboro High,201 ROCK HAVEN RD,CARRBORO,27510,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.891723,-79.085455,9th Grade,12th Grade,1,1,1,1,825,825,77.8,74.5,77.8
48,North Carolina,Carson High,290 KRESS VENTURE DR,CHINA GROVE,28023,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.563039,-80.545691,9th Grade,12th Grade,1,1,1,1,1231,1231,59.2,56.5,45.1
49,North Carolina,Carter G Woodson School,437 GOLDFLOSS STREET,WINSTON-SALEM,27127,3100,1-Regular school,0,1,1,5-Eligible for Title I SWP provides SWP program,36.067380,-80.231160,Kindergarten,12th Grade,1,1,1,1,438,88,16.7,55.2,58.1
50,North Carolina,Carver High,3545 CARVER SCHOOL ROAD,WINSTON SALEM,27105,4033,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.134288,-80.206554,9th Grade,12th Grade,1,1,1,1,648,648,20.8,26.1,34.4
51,North Carolina,Cary High,638 WALNUT ST,CARY,27511,4224,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.771138,-78.766330,9th Grade,12th Grade,1,1,1,1,2396,2396,69.4,69.4,67.7
52,North Carolina,CCCA - Fair Bluff /Southeastern Campuses,4564 CHADBOURN HWY,WHITEVILLE,28472,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.331954,-78.782393,9th Grade,13th Grade,1,1,1,1,278,260,42.9,73.9,53.7
53,North Carolina,Cedar Ridge High,1125 NEW GRADY BROWN SCH RD,HILLSBOROUGH,27278,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.054083,-79.126208,9th Grade,12th Grade,1,1,1,1,1163,1163,60.2,71.7,64.8
54,North Carolina,Central Cabarrus High,505 HWY 49 S,CONCORD,28025,9298,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.362718,-80.583852,9th Grade,12th Grade,1,1,1,1,1416,1416,51.3,58.2,47.5
55,North Carolina,Central Davidson High,2747 NC HWY 47,LEXINGTON,27292,7700,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.739502,-80.223108,9th Grade,12th Grade,1,1,1,1,969,969,41.7,55.9,57.9
56,North Carolina,Challenger Early College High,2550 HWY 70 SE,HICKORY,28602,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.699458,-81.288100,9th Grade,13th Grade,1,1,1,1,368,365,95.0,93.8,92.5
57,North Carolina,Chapel Hill High,1709 HIGH SCHOOL RD,CHAPEL HILL,27516,9240,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.946507,-79.080289,9th Grade,12th Grade,1,1,1,1,1439,1439,68.7,82.7,79.6
58,North Carolina,Charles B Aycock High,5460 US 117 NORTH,PIKEVILLE,27863,"=""0159""",1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.509148,-77.980071,9th Grade,12th Grade,1,1,1,1,1267,1267,43.4,55.2,52.3
59,North Carolina,Charlotte Learning Academy,701 SCALEYBARK RD.,CHARLOTTE,28209,999999,1-Regular school,0,1,1,5-Eligible for Title I SWP provides SWP program,35.181580,-80.864521,6th Grade,10th Grade,0,0,1,1,146,40,5.0,28.2,7.5
60,North Carolina,Charlotte Secondary,8601 MCALPINE PARK DR,CHARLOTTE,28211,999999,1-Regular school,0,1,1,3-Eligible for Title I SWP provides TAS program,35.151970,-80.748591,6th Grade,11th Grade,0,1,1,1,425,164,41.4,65.5,37.5
61,North Carolina,Chase High School,1603 CHASE HIGH ROAD,FOREST CITY,28043,9805,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.251360,-81.843411,9th Grade,12th Grade,1,1,1,1,812,812,43.8,49.8,50.0
62,North Carolina,Chatham Central High,14950 NC HWY 902 W,BEAR CREEK,27207,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.615120,-79.390631,9th Grade,12th Grade,1,1,1,1,404,404,62.2,56.6,48.7
63,North Carolina,Chatham Charter,2200 HAMP STONE ROAD,SILER CITY,27344,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.742493,-79.479562,Kindergarten,11th Grade,0,1,1,1,497,134,88.4,88.6,84.8
64,North Carolina,Cherryville High,313 RIDGE AVENUE,CHERRYVILLE,28021,2451,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.389682,-81.379896,9th Grade,12th Grade,1,1,1,1,554,554,60.7,68.3,57.0
65,North Carolina,City of Medicine Academy,301 CRUTCHFIELD ROAD,DURHAM,27704,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.038838,-78.902553,9th Grade,12th Grade,1,1,1,1,321,321,88.4,85.4,83.0
66,North Carolina,Clayton High,600 S FAYETTEVILLE ST,CLAYTON,27520,2548,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.650024,-78.466420,9th Grade,12th Grade,1,1,1,1,1512,1512,75.6,53.9,81.7
67,North Carolina,Cleveland ECHS,1800 E. MARION STREET,SHELBY,28152,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.277570,-81.490361,9th Grade,13th Grade,1,1,1,1,223,205,91.5,93.6,85.5
68,North Carolina,Cleveland High,1892 POLENTA RD,CLAYTON,27520,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.551507,-78.500107,9th Grade,12th Grade,1,1,1,1,1468,1468,82.8,65.8,70.0
69,North Carolina,Clinton High,340 INDIAN TOWN ROAD,CLINTON,28328,1400,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.973848,-78.329093,9th Grade,12th Grade,1,1,1,1,848,848,41.1,53.3,55.6
70,North Carolina,Clover Garden,2454 ALTAMHAW UNION RIDGE ROAD,BURLINGTON,27217,999999,1-Regular school,0,1,1,2-Eligible for Title I TAS provides TAS program,36.187017,-79.471089,Kindergarten,12th Grade,1,1,1,1,607,148,75.5,76.6,78.6
71,North Carolina,Cochrane Collegiate Academy,6200 STARHAVEN DR,CHARLOTTE,28215,2406,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,35.246492,-80.750138,6th Grade,12th Grade,1,1,1,1,702,172,23.9,50.7,50.9
72,North Carolina,Collaborative College for Technology,500 WEST BROAD STREET,STATESVILLE,28677,999999,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.783453,-80.893121,9th Grade,13th Grade,1,1,1,1,240,201,95.0,95.0,95.0
73,North Carolina,Columbia High,902 MAIN ST,COLUMBIA,27925,"=""0419""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.919076,-76.245535,9th Grade,13th Grade,1,1,1,1,167,158,34.2,41.5,35.0
74,North Carolina,Community School of Davidson,404 ARMOUR STREET,DAVIDSON,28036,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.508080,-80.849741,Kindergarten,12th Grade,1,1,1,1,1327,472,91.2,88.0,84.1
75,North Carolina,Concord High,481 BURRAGE ROAD NE,CONCORD,28025,2501,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.433650,-80.582182,9th Grade,12th Grade,1,1,1,1,1252,1252,43.0,44.7,45.9
76,North Carolina,Corinth Holders High,6875 APPLEWHITE RD,WENDELL,27591,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.724760,-78.337811,9th Grade,12th Grade,1,1,1,1,1679,1679,65.8,68.1,69.4
77,North Carolina,Cornerstone Charter Academy-CFA,2535 NEW GARDEN EAST,GREENSBORO,27455,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,36.134320,-79.827041,Kindergarten,8th Grade,0,0,0,0,726,999999,50.7,71.1,48.6
78,North Carolina,Cox Mill High School,1355 COX MILL RD,CONCORD,28027,7565,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.395070,-80.728611,9th Grade,12th Grade,1,1,1,1,1478,1478,77.8,77.3,78.7
79,North Carolina,Craven Early College High,800 COLLEGE COURT,NEW BERN,28562,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.111602,-77.102325,9th Grade,13th Grade,1,1,1,1,205,178,76.0,92.0,75.6
80,North Carolina,Crest High,800 OLD BOILING SPRINGS,SHELBY,28152,"=""0519""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.271571,-81.609854,9th Grade,12th Grade,1,1,1,1,1260,1260,45.0,50.3,43.1
81,North Carolina,Creswell High,115 WEST MIDDLE STREET,CRESWELL,27928,"=""0188""",1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,35.868941,-76.395907,7th Grade,12th Grade,1,1,1,1,155,100,30.0,55.6,43.8
82,North Carolina,Croatan High,1 COUGAR LANE,NEWPORT,28570,5560,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,34.748000,-76.895490,9th Grade,12th Grade,1,1,1,1,904,904,75.2,72.4,83.1
83,North Carolina,Cross Creek Early College,1200 MURCHISON ROAD,FAYETTEVILLE,28301,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.070959,-78.893585,9th Grade,12th Grade,1,1,1,1,247,247,95.0,95.0,95.0
84,North Carolina,CS Brown High,102 CSB DR,WINTON,27986,999999,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.387550,-76.933100,9th Grade,12th Grade,1,1,1,1,43,43,85.7,73.3,43.8
85,North Carolina,Cumberland International Early CollegeHS,1200 MURCHISON RD,FAYETTEVILLE,28303,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.071595,-78.894515,9th Grade,12th Grade,1,1,1,1,234,234,79.7,88.7,94.1
86,North Carolina,Currituck County High,4203 CARATOKE HWY,BARCO,27917,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.372527,-75.969111,9th Grade,12th Grade,1,1,1,1,972,972,54.0,60.5,47.8
87,North Carolina,Cuthbertson High,1400 CUTHBERTSON RD,WAXHAW,28173,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,34.975950,-80.740031,9th Grade,12th Grade,1,1,1,1,1449,1449,84.9,89.5,93.7
88,North Carolina,D H Conley High,2006 WORTHINGTON RD,GREENVILLE,27858,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.530585,-77.324777,9th Grade,12th Grade,1,1,1,1,1644,1644,71.9,66.0,63.1
89,North Carolina,Dalton McMichael High,6845 HWY 135,MAYODAN,27027,9714,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.417552,-79.942671,9th Grade,12th Grade,1,1,1,1,985,985,48.1,54.9,54.3
90,North Carolina,Davidson Early College,297 DCCC ROAD,LEXINGTON,27295,1287,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.868790,-80.296620,9th Grade,13th Grade,1,1,1,1,107,107,80.8,95.0,91.2
91,North Carolina,Davie County Early College High,1211 SALISBURY ROAD,MOCKSVILLE,27028,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.870882,-80.555530,9th Grade,13th Grade,1,1,1,1,156,153,76.0,89.7,95.0
92,North Carolina,Davie County High,1200 SALISBURY ROAD,MOCKSVILLE,27028,9342,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.873036,-80.552196,9th Grade,12th Grade,1,1,1,1,1799,1799,58.4,61.5,55.1
93,North Carolina,Dixon High,160 DIXON SCHOOL RD,HOLLY RIDGE,28445,7759,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,34.587976,-77.478352,9th Grade,12th Grade,1,1,1,1,835,835,66.4,61.4,42.7
94,North Carolina,Douglas Byrd High,1624 IRELAND DRIVE,FAYETTEVILLE,28304,4363,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,35.030827,-78.948512,9th Grade,12th Grade,1,1,1,1,1189,1189,24.3,44.4,52.9
95,North Carolina,Duplin Early College High,212 JAMES SPRUNT DR,KENANSVILLE,28349,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.946531,-77.978821,9th Grade,13th Grade,1,1,1,1,180,154,76.0,84.0,87.5
96,North Carolina,Durham School of the Arts,401 NORTH DUKE STREET,DURHAM,27701,2048,1-Regular school,1,0,1,1-Eligible for Title I TAS provides no program,36.003058,-78.906780,6th Grade,12th Grade,1,1,1,1,1650,1008,77.0,86.5,73.0
97,North Carolina,E E Smith High,1800 SEABROOK ROAD,FAYETTEVILLE,28301,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.084083,-78.895641,9th Grade,12th Grade,1,1,1,1,1064,1064,45.9,53.0,38.5
98,North Carolina,Early College at Guilford,5608 WEST FRIENDLY AVENUE,GREENSBORO,27410,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.095092,-79.890057,9th Grade,12th Grade,1,1,1,1,198,198,95.0,95.0,95.0
99,North Carolina,Early College EAST High,104 MIDDLE SCHOOL LANE,HAVELOCK,28532,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,34.878517,-76.898878,9th Grade,13th Grade,1,1,1,1,220,189,70.5,86.4,82.6
100,North Carolina,Early College of Forsyth Co,2100 SILAS CREEK PRKY,WINSTON SALEM,27103,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.068835,-80.271743,9th Grade,12th Grade,1,1,1,1,211,211,88.4,95.0,95.0
101,North Carolina,East Bladen High,5600 NC HWY 87 EAST,ELIZABETHTOWN,28337,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.581079,-78.530675,9th Grade,12th Grade,1,1,1,1,646,646,42.2,42.9,55.3
102,North Carolina,East Burke High,3695 EAST BURKE BOULEVARD,CONNELLY SPRINGS,28612,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.721566,-81.482113,9th Grade,12th Grade,1,1,1,1,991,991,68.6,64.6,79.4
103,North Carolina,East Carteret High,3263 HWY 70 E,BEAUFORT,28516,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.781690,-76.631261,6th Grade,12th Grade,1,1,1,1,596,596,73.2,67.5,69.7
104,North Carolina,East Chapel Hill High,500 WEAVER DAIRY RD,CHAPEL HILL,27514,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.961012,-79.029733,9th Grade,12th Grade,1,1,1,1,1411,1411,84.2,88.5,77.1
105,North Carolina,East Columbus High,32 GATOR LANE,LAKE WACCAMAW,28450,"=""0401""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.335906,-78.501626,9th Grade,12th Grade,1,1,1,1,465,465,41.3,47.9,49.5
